tail_no,aircraft_class,leg,from,to,distance_km,pax,depart_min,duration_min,soc_after_pct
AT-11,4seat,1,CHT,PSD,26.3,4,0.0,4.9,86.1
AT-11,4seat,2,PSD,CHT,26.3,4,9.9,4.9,72.2
AT-11,4seat,3,CHT,PSD,26.3,4,19.8,4.9,58.3
AT-11,4seat,4,PSD,CHT,26.3,4,29.7,4.9,44.4
AT-11,4seat,5,CHT,PSD,26.3,4,39.6,4.9,30.6
AT-11,4seat,6,PSD,CHT,26.3,4,49.5,4.9,16.7
AT-12,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-12,4seat,2,KRJ,THR,36.8,4,14.4,6.9,53.8
AT-12,4seat,3,THR,KRJ,36.8,4,26.3,6.9,34.4
AT-12,4seat,4,KRJ,THR,36.8,4,38.2,6.9,15.0
AT-12,4seat,5,THR,IKA,35.4,0,50.0,6.6,15.0
AT-13,4seat,1,THR,KRJ,36.8,4,0.0,6.9,80.6
AT-13,4seat,2,KRJ,IKA,50.7,4,11.9,9.4,53.8
AT-13,4seat,3,IKA,KRJ,50.7,4,26.3,9.4,41.8
AT-13,4seat,4,KRJ,IKA,50.7,4,43.5,9.4,15.0
AT-13,4seat,5,IKA,THR,35.4,0,57.9,6.6,15.0
AT-14,4seat,1,THR,KRJ,36.8,4,0.0,6.9,80.6
AT-14,4seat,2,KRJ,THR,36.8,4,11.9,6.9,61.2
AT-14,4seat,3,THR,KRJ,36.8,4,23.7,6.9,41.8
AT-14,4seat,4,KRJ,THR,36.8,4,35.6,6.9,22.3
AT-15,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-15,4seat,2,KRJ,IKA,50.7,4,14.4,9.4,46.5
AT-15,4seat,3,IKA,KRJ,50.7,4,28.9,9.4,41.8
AT-15,4seat,4,KRJ,IKA,50.7,4,47.3,9.4,15.0
AT-16,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-16,4seat,2,KRJ,IKA,50.7,4,14.4,9.4,46.5
AT-16,4seat,3,IKA,KRJ,50.7,4,28.9,9.4,41.8
AT-16,4seat,4,KRJ,IKA,50.7,4,47.3,9.4,15.0
AT-17,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-17,4seat,2,KRJ,IKA,50.7,4,14.4,9.4,46.5
AT-17,4seat,3,IKA,KRJ,50.7,4,28.9,9.4,41.8
AT-17,4seat,4,KRJ,IKA,50.7,4,47.3,9.4,15.0
AT-18,4seat,1,IKA,KRJ,50.7,4,0.0,9.4,73.2
AT-18,4seat,2,KRJ,THR,36.8,4,14.4,6.9,53.8
AT-18,4seat,3,THR,IKA,35.4,0,26.3,6.6,35.1
AT-19,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-19,4seat,2,KRJ,IKA,50.7,4,22.3,9.4,24.3
AT-19,4seat,3,IKA,QZV,137.0,0,36.7,25.5,15.0
AT-20,4seat,1,TAJ,IKA,50.8,4,0.0,9.5,73.2
AT-20,4seat,2,IKA,KRJ,50.7,4,14.5,9.4,46.4
AT-20,4seat,3,KRJ,TAJ,42.5,0,28.9,7.9,23.9
AT-21,2seat,1,CHT,IKA,38.8,2,0.0,10.8,83.5
AT-21,2seat,2,IKA,CHT,38.8,2,15.8,10.8,67.0
AT-22,4seat,1,THR,KRJ,36.8,4,0.0,6.9,80.6
AT-22,4seat,2,KRJ,THR,36.8,0,11.9,6.9,61.2
AT-23,4seat,1,THR,KRJ,36.8,4,0.0,6.9,80.6
AT-23,4seat,2,KRJ,THR,36.8,0,11.9,6.9,61.2
AT-24,4seat,1,THR,KRJ,36.8,4,0.0,6.9,80.6
AT-24,4seat,2,KRJ,THR,36.8,0,11.9,6.9,61.2
AT-25,4seat,1,TAJ,IKA,50.8,4,0.0,9.5,73.2
AT-25,4seat,2,IKA,TAJ,50.8,0,14.5,9.5,46.4
AT-26,4seat,1,TAJ,IKA,50.8,4,0.0,9.5,73.2
AT-26,4seat,2,IKA,TAJ,50.8,0,14.5,9.5,46.4
AT-27,4seat,1,KRJ,THR,36.8,4,0.0,6.9,80.6
AT-27,4seat,2,THR,KRJ,36.8,0,11.9,6.9,61.2
AT-28,4seat,1,IKA,THR,35.4,4,0.0,6.6,81.3
AT-28,4seat,2,THR,IKA,35.4,0,11.6,6.6,62.6
AT-29,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-30,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-31,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-32,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-33,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-34,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-35,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-36,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-37,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-38,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-39,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-40,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-41,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-42,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-43,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-44,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-45,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-46,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-47,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-48,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-49,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-50,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-51,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-52,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-53,4seat,1,KRJ,QZV,92.7,4,0.0,17.3,51.0
AT-54,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-55,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-56,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
